roll_no,cgpa,credits,due_subjects
20R21A0401,0, 6.00, 11/16
20R21A0402,7.32, 36.00, 0/16
20R21A0403,0, 18.00, 5/16
20R21A0404,7.67, 36.00, 0/16
20R21A0405,0, 14.00, 7/16
20R21A0406,0, 32.00, 1/16
20R21A0407,6.58, 36.00, 0/16
20R21A0408,8.01, 36.00, 0/16
20R21A0409,0, 14.50, 6/16
20R21A0410,0, 33.00, 1/16
20R21A0411,8.40, 36.00, 0/16
20R21A0412,8.94, 36.00, 0/16
20R21A0413,7.67, 36.00, 0/16
20R21A0414,7.69, 36.00, 0/16
20R21A0415,0, 17.00, 5/16
20R21A0416,0, 32.00, 1/16
20R21A0417,7.28, 36.00, 0/16
20R21A0418,6.82, 36.00, 0/16
20R21A0419,0, 26.00, 3/16
20R21A0420,8.35, 36.00, 0/16
20R21A0421,0, 33.00, 1/16
20R21A0422,9.33, 36.00, 0/16
20R21A0423,8.31, 36.00, 0/16
20R21A0424,8.92, 36.00, 0/16
20R21A0425,9.64, 36.00, 0/16
20R21A0426,0, 28.00, 2/16
20R21A0427,8.10, 36.00, 0/16
20R21A0428,0, 11.50, 7/16
20R21A0429,7.88, 36.00, 0/16
20R21A0430,0, 10.00, 7/16
20R21A0431,9.64, 36.00, 0/16
20R21A0432,0, 14.00, 6/16
20R21A0433,7.74, 36.00, 0/16
20R21A0434,9.69, 36.00, 0/16
20R21A0435,5.97, 36.00, 0/16
20R21A0436,0, 28.00, 2/16
20R21A0437,6.60, 36.00, 0/16
20R21A0438,0, 13.00, 6/16
20R21A0439,7.10, 36.00, 0/16
20R21A0440,6.10, 36.00, 0/16
20R21A0441,0, 18.00, 5/16
20R21A0442,0, 10.00, 8/16
20R21A0443,8.75, 36.00, 0/16
20R21A0444,0, 28.00, 2/16
20R21A0445,0, 29.00, 2/16
20R21A0446,0, 32.00, 1/16
20R21A0447,8.54, 36.00, 0/16
20R21A0448,0, 21.00, 4/16
20R21A0449,0, 18.00, 5/16
20R21A0450,0, 21.00, 4/16
20R21A0451,0, 33.00, 1/16
20R21A0452,8.29, 36.00, 0/16
20R21A0453,0, 32.00, 1/16
20R21A0454,0, 14.00, 6/16
20R21A0455,0, 29.00, 2/16
20R21A0456,8.85, 36.00, 0/16
20R21A0457,0, 29.00, 2/16
20R21A0458,9.25, 36.00, 0/16
20R21A0459,8.47, 36.00, 0/16
20R21A0460,0, 10.00, 7/16
